latitude,longitude,brightness,scan,track,acq_date,confidence,bright_t31,frp,daynight,type,tavg,tmin,tmax,prcp,wspd
38.13069,23.52478,304.83,0.43,0.38,2015-05-01,n,285.87,1.24,N,2,19.3,13.8,26.0,0.0,9.8
39.38534,22.80522,297.14,0.4,0.37,2015-05-01,n,282.07,0.36,N,2,16.6,10.0,23.0,0.0,9.9
39.35399,22.98343,305.06,0.41,0.37,2015-05-01,n,285.75,1.04,N,0,16.6,10.0,23.0,0.0,9.9
39.38512,22.80717,298.1,0.4,0.37,2015-05-01,n,283.08,0.62,N,2,16.6,10.0,23.0,0.0,9.9
40.70039,22.9525,295.63,0.4,0.37,2015-05-01,n,283.54,0.58,N,0,16.9,9.8,24.3,0.0,10.4
39.35382,22.98642,305.11,0.41,0.37,2015-05-01,n,285.88,1.01,N,0,16.6,10.0,23.0,0.0,9.9
39.1664,22.84678,297.08,0.4,0.37,2015-05-01,n,281.93,0.72,N,0,16.6,10.0,23.0,0.0,9.9
39.35612,22.98386,300.73,0.41,0.37,2015-05-02,n,287.38,0.36,N,2,18.1,10.0,24.0,0.0,9.8
39.16609,22.84369,295.89,0.42,0.37,2015-05-02,n,283.74,0.82,N,0,18.1,10.0,24.0,0.0,9.8
37.96016,23.40067,297.55,0.4,0.37,2015-05-02,n,286.37,0.55,N,0,19.1,12.0,26.0,0.0,7.7
38.12999,23.52564,322.2,0.4,0.37,2015-05-02,n,289.34,2.1,N,2,19.1,12.0,26.0,0.0,7.7
39.35454,22.984,299.77,0.43,0.46,2015-05-02,n,286.29,0.74,N,0,18.1,10.0,24.0,0.0,9.8
38.03918,23.51128,299.83,0.39,0.44,2015-05-02,n,289.5,0.65,N,2,19.1,12.0,26.0,0.0,7.7
38.12868,23.52308,304.09,0.39,0.44,2015-05-02,n,287.3,0.81,N,2,19.1,12.0,26.0,0.0,7.7
40.70412,22.81589,335.21,0.4,0.37,2015-05-03,n,300.95,2.82,D,0,19.0,9.8,28.0,0.5,9.2
40.90432,24.83192,335.78,0.38,0.36,2015-05-03,n,300.33,3.17,D,0,16.7,10.0,23.0,0.0,4.5
39.38693,22.80758,295.96,0.39,0.59,2015-05-03,n,282.93,0.49,N,2,19.5,12.0,25.0,0.0,11.6
38.03945,23.51097,297.05,0.35,0.57,2015-05-03,n,284.31,0.88,N,2,20.1,12.4,26.8,0.0,9.9
38.12748,23.52423,311.7,0.35,0.57,2015-05-03,n,283.36,0.78,N,2,20.1,12.4,26.8,0.0,9.9
38.12893,23.52673,330.07,0.42,0.45,2015-05-04,l,304.04,1.63,D,2,20.2,12.4,27.2,0.0,7.9
38.12943,23.52413,298.31,0.63,0.72,2015-05-04,n,282.15,0.55,N,2,20.2,12.4,27.2,0.0,7.9
39.38555,22.80921,295.4,0.48,0.48,2015-05-05,n,284.41,0.3,N,2,19.1,13.0,24.0,0.0,8.3
38.12889,23.52361,300.5,0.55,0.51,2015-05-05,n,283.96,1.12,N,2,21.7,14.2,29.0,0.0,7.0
38.56453,23.29585,304.77,0.53,0.5,2015-05-05,n,286.42,0.98,N,0,19.5,12.0,28.0,0.0,3.3
37.96104,23.40039,310.41,0.55,0.51,2015-05-05,n,286.19,1.43,N,0,21.7,14.2,29.0,0.0,7.0
40.69806,22.95223,298.33,0.43,0.38,2015-05-06,n,287.94,0.76,N,0,21.3,13.5,30.0,0.0,8.7
39.67012,22.69301,302.47,0.44,0.38,2015-05-06,n,282.52,0.43,N,0,22.1,12.0,33.2,0.0,3.2
39.35569,22.98741,298.23,0.45,0.39,2015-05-06,n,285.64,0.45,N,0,20.7,14.0,27.0,0.0,8.2
38.56512,23.29632,323.34,0.47,0.4,2015-05-06,n,289.18,1.67,N,0,21.5,14.0,30.0,0.0,4.4
38.12963,23.52726,312.54,0.49,0.4,2015-05-06,n,289.1,1.84,N,2,23.4,15.8,31.0,0.0,4.5
40.90474,24.71291,325.13,0.46,0.63,2015-05-06,l,297.2,1.09,D,0,21.0,15.4,26.0,0.0,4.7
38.56599,23.2963,330.91,0.52,0.5,2015-05-06,n,304.34,4.48,D,0,21.5,14.0,30.0,0.0,4.4
38.56433,23.29574,331.93,0.52,0.5,2015-05-06,n,305.06,4.41,D,0,21.5,14.0,30.0,0.0,4.4
40.23238,21.53965,342.9,0.44,0.46,2015-05-06,n,309.08,3.84,D,0,22.0,14.0,31.0,0.0,4.4
40.23051,21.53729,342.5,0.44,0.46,2015-05-06,n,308.2,3.38,D,0,22.0,14.0,31.0,0.0,4.4
40.70673,22.81633,299.75,0.39,0.37,2015-05-07,n,275.13,0.65,N,0,21.8,15.0,28.0,0.0,9.4
37.96161,23.40237,310.14,0.38,0.36,2015-05-07,n,291.39,0.63,N,0,24.3,17.0,31.2,0.0,5.7
38.12885,23.52649,322.37,0.38,0.36,2015-05-07,n,292.57,1.31,N,2,24.3,17.0,31.2,0.0,5.7
39.16886,22.8422,303.22,0.39,0.36,2015-05-07,n,291.23,0.84,N,0,21.0,15.0,28.0,0.0,8.5
39.35515,22.98734,304.09,0.39,0.36,2015-05-07,n,291.34,0.6,N,0,21.0,15.0,28.0,0.0,8.5
37.96972,23.56718,305.04,0.49,0.4,2015-05-08,n,291.86,1.04,N,0,24.4,21.0,28.0,0.0,17.8
38.56743,23.29313,320.8,0.51,0.41,2015-05-08,n,290.8,1.6,N,3,21.0,16.0,25.0,0.0,11.2
38.56363,23.29248,300.85,0.51,0.41,2015-05-08,n,290.7,0.71,N,0,21.0,16.0,25.0,0.0,11.2
38.1313,23.52442,303.73,0.5,0.41,2015-05-08,n,291.29,1.07,N,2,24.4,21.0,28.0,0.0,17.8
38.12756,23.52367,303.77,0.5,0.41,2015-05-08,n,290.59,1.07,N,2,24.4,21.0,28.0,0.0,17.8
38.13066,23.5256,334.24,0.39,0.36,2015-05-08,l,307.32,3.88,D,2,24.4,21.0,28.0,0.0,17.8
38.44333,23.56898,335.89,0.39,0.36,2015-05-08,n,303.27,2.54,D,0,21.0,16.0,25.0,0.0,11.2
