time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,latitude,longitude
2015-05-01,19.3,13.8,26.0,0.0,,,9.8,,,,38.13069,23.52478
2015-05-01,16.6,10.0,23.0,,,,9.9,,,,39.38534,22.80522
2015-05-01,16.6,10.0,23.0,,,,9.9,,,,39.35399,22.98343
2015-05-01,16.6,10.0,23.0,,,,9.9,,,,39.38512,22.80717
2015-05-01,16.9,9.8,24.3,0.0,,,10.4,,,,40.70039,22.9525
2015-05-01,16.6,10.0,23.0,,,,9.9,,,,39.35382,22.98642
2015-05-01,16.6,10.0,23.0,,,,9.9,,,,39.1664,22.84678
2015-05-01,,,,,,,,,,,38.56781,23.29314
2015-05-01,,,,,,,,,,,38.5644,23.2921
2015-05-01,,,,,,,,,,,38.37446,24.06247
2015-05-01,,,,,,,,,,,38.36065,22.69424
2015-05-01,,,,,,,,,,,37.91869,23.07082
2015-05-01,,,,,,,,,,,38.33361,21.84664
2015-05-01,,,,,,,,,,,36.80221,24.52475
2015-05-01,,,,,,,,,,,38.13536,24.40724
2015-05-01,,,,,,,,,,,37.28281,22.54729
2015-05-01,,,,,,,,,,,37.28216,22.54104
2015-05-01,,,,,,,,,,,37.28026,22.54629
2015-05-01,,,,,,,,,,,37.27963,22.54002
2015-05-01,,,,,,,,,,,38.42523,21.14649
2015-05-02,18.1,10.0,24.0,,,,9.8,,,,39.35612,22.98386
2015-05-02,,,,,,,,,,,40.28323,23.44525
2015-05-02,18.1,10.0,24.0,,,,9.8,,,,39.16609,22.84369
2015-05-02,19.1,12.0,26.0,0.0,,,7.7,,,,37.96016,23.40067
2015-05-02,,,,,,,,,,,38.36358,22.69244
2015-05-02,,,,,,,,,,,38.36133,22.69508
2015-05-02,19.1,12.0,26.0,0.0,,,7.7,,,,38.12999,23.52564
2015-05-02,18.1,10.0,24.0,,,,9.8,,,,39.35454,22.984
2015-05-02,19.1,12.0,26.0,0.0,,,7.7,,,,38.03918,23.51128
2015-05-02,,,,,,,,,,,38.37214,24.06136
2015-05-02,19.1,12.0,26.0,0.0,,,7.7,,,,38.12868,23.52308
2015-05-02,,,,,,,,,,,37.9192,23.07093
2015-05-03,19.0,9.8,28.0,0.5,,,9.2,,,,40.70412,22.81589
2015-05-03,16.7,10.0,23.0,,,,4.5,,,,40.90432,24.83192
2015-05-03,19.5,12.0,25.0,,,,11.6,,,,39.38693,22.80758
2015-05-03,20.1,12.4,26.8,0.0,,,9.9,,,,38.03945,23.51097
2015-05-03,,,,,,,,,,,38.56665,23.29326
2015-05-03,,,,,,,,,,,38.37278,24.0635
2015-05-03,,,,,,,,,,,38.36277,22.69374
2015-05-03,20.1,12.4,26.8,0.0,,,9.9,,,,38.12748,23.52423
2015-05-04,20.2,12.4,27.2,0.0,,,7.9,,,,38.12893,23.52673
2015-05-04,20.2,12.4,27.2,0.0,,,7.9,,,,38.12943,23.52413
2015-05-05,19.1,13.0,24.0,,,,8.3,,,,39.38555,22.80921
2015-05-05,21.7,14.2,29.0,0.0,,,7.0,,,,38.12889,23.52361
2015-05-05,19.5,12.0,28.0,,,,3.3,,,,38.56453,23.29585
2015-05-05,21.7,14.2,29.0,0.0,,,7.0,,,,37.96104,23.40039
2015-05-05,,,,,,,,,,,37.91757,23.07455
2015-05-05,,,,,,,,,,,38.37412,21.13138
2015-05-06,21.3,13.5,30.0,0.0,,,8.7,,,,40.69806,22.95223
2015-05-06,,,,,,,,,,,40.61714,23.4548
2015-05-06,,,,,,,,,,,40.285,23.4468
2015-05-06,,,,,,,,,,,40.12661,22.52225
2015-05-06,22.1,12.0,33.2,0.0,,,3.2,,,,39.67012,22.69301
2015-05-06,20.7,14.0,27.0,,,,8.2,,,,39.35569,22.98741
2015-05-06,21.5,14.0,30.0,,,,4.4,,,,38.56512,23.29632
2015-05-06,,,,,,,,,,,38.37308,24.06042
2015-05-06,,,,,,,,,,,38.36291,22.69489
2015-05-06,23.4,15.8,31.0,0.0,,,4.5,,,,38.12963,23.52726
2015-05-06,,,,,,,,,,,37.91859,23.07237
2015-05-06,,,,,,,,,,,37.91945,23.07118
2015-05-06,21.0,15.4,26.0,,,,4.7,,,,40.90474,24.71291
2015-05-06,,,,,,,,,,,40.50141,21.12249
2015-05-06,21.5,14.0,30.0,,,,4.4,,,,38.56599,23.2963
2015-05-06,21.5,14.0,30.0,,,,4.4,,,,38.56433,23.29574
2015-05-06,22.0,14.0,31.0,,,,4.4,,,,40.23238,21.53965
2015-05-06,22.0,14.0,31.0,,,,4.4,,,,40.23051,21.53729
2015-05-06,,,,,,,,,,,40.49573,21.20786
2015-05-07,21.8,15.0,28.0,0.0,,,9.4,,,,40.70673,22.81633
2015-05-07,24.3,17.0,31.2,0.0,,,5.7,,,,37.96161,23.40237
2015-05-07,,,,,,,,,,,37.91768,23.07376
2015-05-07,24.3,17.0,31.2,0.0,,,5.7,,,,38.12885,23.52649
2015-05-07,,,,,,,,,,,38.3614,22.69204
2015-05-07,,,,,,,,,,,38.37376,24.06308
2015-05-07,,,,,,,,,,,38.56501,23.29586
2015-05-07,,,,,,,,,,,38.5683,23.29667
2015-05-07,21.0,15.0,28.0,,,,8.5,,,,39.16886,22.8422
2015-05-07,21.0,15.0,28.0,,,,8.5,,,,39.35515,22.98734
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,37.96972,23.56718
2015-05-08,21.0,16.0,25.0,,,,11.2,,,,38.56743,23.29313
2015-05-08,21.0,16.0,25.0,,,,11.2,,,,38.56363,23.29248
2015-05-08,,,,,,,,,,,38.37495,24.06149
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,38.1313,23.52442
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,38.12756,23.52367
2015-05-08,,,,,,,,,,,36.87254,25.92384
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,38.13066,23.5256
2015-05-08,21.0,16.0,25.0,,,,11.2,,,,38.44333,23.56898
2015-05-08,,,,,,,,,,,40.75436,21.51402
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,38.12827,23.52563
2015-05-08,,,,,,,,,,,38.37432,24.0631
2015-05-08,24.4,21.0,28.0,0.0,,343.0,17.8,,,,38.13133,23.5254
