time,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_max
2015-05-01,23.0,11.5,0.0,6.6,92
2015-05-01,23.9,12.2,0.0,14.0,95
2015-05-01,19.6,12.7,0.0,10.5,96
2015-05-01,23.9,12.2,0.0,14.0,95
2015-05-01,22.0,13.6,0.0,12.2,95
2015-05-01,19.7,12.7,0.0,10.5,96
2015-05-01,23.8,12.5,0.0,9.0,95
2015-05-01,25.5,11.0,0.0,7.8,96
2015-05-01,25.5,11.0,0.0,7.8,96
2015-05-01,20.3,11.9,0.0,12.8,96
2015-05-01,24.8,11.6,0.0,12.9,98
2015-05-01,22.8,14.4,0.0,8.9,84
2015-05-01,19.4,12.3,0.0,14.5,99
2015-05-01,17.9,16.7,0.0,18.1,91
2015-05-01,18.5,10.4,0.0,12.8,96
2015-05-01,17.9,5.7,0.0,8.0,89
2015-05-01,18.1,5.9,0.0,8.0,89
2015-05-01,17.7,5.5,0.0,8.0,89
2015-05-01,17.8,5.6,0.0,8.0,89
2015-05-01,18.9,13.9,0.0,14.5,92
2015-05-02,21.9,15.1,0.0,10.8,83
2015-05-02,21.1,12.7,0.1,11.8,96
2015-05-02,25.6,13.6,0.0,9.5,89
2015-05-02,24.8,13.4,0.0,14.5,87
2015-05-02,25.1,11.9,0.0,21.0,99
2015-05-02,25.0,11.8,0.0,21.0,99
2015-05-02,24.0,12.8,0.0,15.2,88
2015-05-02,22.1,15.3,0.0,10.8,83
2015-05-02,24.5,13.9,0.0,14.5,85
2015-05-02,25.3,14.5,0.0,17.4,90
2015-05-02,24.2,12.9,0.0,15.2,88
2015-05-02,23.7,14.6,0.0,13.9,83
2015-05-03,25.9,11.0,0.0,10.8,93
2015-05-03,19.6,13.8,0.0,10.7,97
2015-05-03,25.9,12.9,0.0,10.9,84
2015-05-03,26.2,15.2,0.0,11.9,82
2015-05-03,27.0,13.0,0.0,9.2,87
2015-05-03,22.3,16.1,0.0,12.0,74
2015-05-03,26.7,13.0,0.0,14.3,92
2015-05-03,25.1,14.9,0.0,7.2,81
