latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.66341,22.66959,325.89,0.44,0.39,2019-01-01,1109,N,VIIRS,n,2,285.01,1.45,D,0
40.55516,22.64006,331.94,0.45,0.39,2019-01-01,1109,N,VIIRS,n,2,282.23,2.34,D,0
40.67193,22.6559,328.87,0.44,0.39,2019-01-01,1109,N,VIIRS,n,2,284.77,2.42,D,0
41.08794,23.39692,329.96,0.42,0.38,2019-01-01,1109,N,VIIRS,n,2,285.48,2.98,D,0
40.70907,22.67686,325.52,0.44,0.39,2019-01-01,1109,N,VIIRS,n,2,283.25,3.17,D,0
40.55148,22.67963,334.15,0.44,0.39,2019-01-01,1109,N,VIIRS,n,2,286.81,8.99,D,0
40.93794,23.63684,335.23,0.42,0.45,2019-01-02,1050,N,VIIRS,n,2,282.31,3.02,D,0
40.99961,23.49377,332.94,0.42,0.45,2019-01-02,1050,N,VIIRS,n,2,282.46,3.36,D,0
40.93041,23.57865,334.65,0.42,0.45,2019-01-02,1050,N,VIIRS,n,2,282.13,3.66,D,0
39.15859,20.80912,325.73,0.63,0.54,2019-01-02,1050,N,VIIRS,n,2,284.07,3.04,D,0
40.52117,23.3782,333.59,0.44,0.46,2019-01-02,1050,N,VIIRS,n,2,280.52,2.83,D,0
40.58762,22.8313,339.38,0.46,0.47,2019-01-02,1050,N,VIIRS,n,2,284.33,6.91,D,0
40.5949,22.68159,329.49,0.47,0.48,2019-01-02,1050,N,VIIRS,n,2,282.93,2.89,D,0
40.64393,22.61212,331.15,0.47,0.48,2019-01-02,1050,N,VIIRS,n,2,282.68,3.82,D,0
40.6638,22.6577,347.75,0.47,0.48,2019-01-02,1050,N,VIIRS,n,2,284.57,6.82,D,0
41.26726,22.94333,325.56,0.44,0.46,2019-01-02,1051,N,VIIRS,n,2,281.77,4.86,D,0
41.1059,22.95384,331.92,0.45,0.47,2019-01-02,1051,N,VIIRS,n,2,280.6,5.94,D,0
41.14835,23.30292,338.92,0.43,0.46,2019-01-02,1051,N,VIIRS,n,2,283.12,3.23,D,0
38.42973,21.12586,340.58,0.54,0.68,2019-01-02,1230,N,VIIRS,n,2,291.17,27.21,D,0
38.43609,21.12561,340.57,0.54,0.68,2019-01-02,1230,N,VIIRS,n,2,283.84,10.49,D,0
38.42992,21.13228,356.62,0.54,0.68,2019-01-02,1230,N,VIIRS,l,2,286.91,27.21,D,0
40.58822,22.79724,335.46,0.68,0.74,2019-01-02,1231,N,VIIRS,n,2,283.05,7.11,D,0
40.59448,22.73022,354.4,0.68,0.74,2019-01-02,1231,N,VIIRS,n,2,284.68,14.78,D,0
38.03813,23.51151,306.17,0.39,0.36,2019-01-05,0012,N,VIIRS,n,2,277.99,1.15,N,2
38.12952,23.5238,309.51,0.39,0.36,2019-01-05,0012,N,VIIRS,n,2,275.38,1.05,N,0
38.13028,23.52608,301.23,0.39,0.36,2019-01-05,0012,N,VIIRS,n,2,274.95,0.73,N,2
38.56797,23.29302,295.97,0.4,0.37,2019-01-05,0012,N,VIIRS,n,2,282.86,1.95,N,3
38.0375,23.51106,317.35,0.38,0.43,2019-01-05,2353,N,VIIRS,n,2,277.96,2.14,N,2
38.13067,23.52612,303.82,0.38,0.43,2019-01-05,2353,N,VIIRS,n,2,273.89,1.44,N,2
38.56518,23.29675,328.46,0.41,0.37,2019-01-06,1115,N,VIIRS,n,2,283.11,3.75,D,0
38.13078,23.52322,300.76,0.34,0.56,2019-01-06,2334,N,VIIRS,n,2,275.06,0.69,N,0
38.56496,23.29446,298.31,0.47,0.64,2019-01-07,0115,N,VIIRS,n,2,276.56,1.54,N,0
38.56711,23.2927,325.27,0.48,0.4,2019-01-09,0037,N,VIIRS,n,2,281.39,2.91,N,3
38.56354,23.2927,295.29,0.38,0.36,2019-01-10,0018,N,VIIRS,n,2,282.31,0.66,N,0
38.56683,23.29353,303.04,0.38,0.36,2019-01-10,0018,N,VIIRS,n,2,283.74,0.66,N,3
38.56367,23.29622,300.15,0.56,0.43,2019-01-14,0043,N,VIIRS,n,2,275.59,2.42,N,0
38.56532,23.29552,302.54,0.56,0.43,2019-01-14,0043,N,VIIRS,n,2,277.64,1.71,N,0
39.3853,22.80817,313.34,0.52,0.41,2019-01-14,0043,N,VIIRS,n,2,271.49,2.34,N,0
39.985,25.16454,326.19,0.38,0.59,2019-01-14,1025,N,VIIRS,n,2,283.54,3.5,D,0
41.02506,25.18271,329.23,0.48,0.48,2019-01-15,1147,N,VIIRS,n,2,280.32,2.5,D,0
38.56736,23.29398,339.18,0.39,0.36,2019-01-16,1127,N,VIIRS,n,2,284.86,3.25,D,3
39.215,22.81988,326.59,0.39,0.36,2019-01-16,1128,N,VIIRS,n,2,283.93,2.13,D,3
39.85415,20.60598,331.06,0.39,0.36,2019-01-16,1128,N,VIIRS,n,2,276.5,2.95,D,0
39.80691,22.05972,331.79,0.38,0.36,2019-01-16,1128,N,VIIRS,n,2,282.09,3.22,D,0
38.03981,23.51229,295.69,0.46,0.47,2019-01-16,2347,N,VIIRS,n,2,279.72,2.33,N,0
37.96392,24.79267,337.04,0.41,0.37,2019-01-17,1108,N,VIIRS,n,2,284.18,3.99,D,0
35.43452,23.80677,342.28,0.48,0.4,2019-01-17,1108,N,VIIRS,n,2,281.3,6.5,D,0
40.67262,23.2638,328.46,0.43,0.38,2019-01-17,1109,N,VIIRS,n,2,283.6,2.32,D,0
39.96626,25.19878,327.71,0.39,0.36,2019-01-17,1109,N,VIIRS,n,2,287.33,2.2,D,0
39.96957,25.19788,329.48,0.39,0.36,2019-01-17,1109,N,VIIRS,n,2,286.68,2.2,D,0
40.91194,26.19859,331.25,0.38,0.36,2019-01-17,1109,N,VIIRS,n,2,285.34,2.53,D,0
41.49538,26.30665,338.07,0.38,0.36,2019-01-17,1109,N,VIIRS,n,2,288.01,3.07,D,0
38.03794,23.50587,295.13,0.42,0.61,2019-01-17,2328,N,VIIRS,n,2,279.2,1.46,N,0
38.0377,23.51075,300.29,0.42,0.61,2019-01-17,2328,N,VIIRS,n,2,280.05,1.65,N,0
38.13026,23.52602,295.41,0.42,0.61,2019-01-17,2328,N,VIIRS,n,2,276.66,0.72,N,2
39.38646,22.80814,304.86,0.35,0.57,2019-01-18,0108,N,VIIRS,n,2,271.86,0.89,N,0
39.38673,22.80593,298.34,0.35,0.57,2019-01-18,0108,N,VIIRS,n,2,271.66,0.86,N,0
37.15803,25.57038,339.4,0.4,0.45,2019-01-18,1049,N,VIIRS,n,2,290.55,13.81,D,0
37.15717,25.5663,354.87,0.4,0.45,2019-01-18,1049,N,VIIRS,n,2,288.01,13.81,D,0
37.91745,23.07397,297.06,0.45,0.47,2019-01-19,0050,N,VIIRS,n,2,281.65,1.66,N,2
35.15497,26.0248,346.34,0.38,0.59,2019-01-19,1030,N,VIIRS,n,2,274.44,7.3,D,0
35.15387,26.0205,348.03,0.38,0.59,2019-01-19,1030,N,VIIRS,n,2,275.5,5.75,D,0
38.12956,23.52387,303.63,0.44,0.38,2019-01-20,0031,N,VIIRS,n,2,276.21,0.91,N,0
40.70473,22.81555,296.11,0.42,0.38,2019-01-21,0011,N,VIIRS,n,2,276.39,0.69,N,2
39.16939,22.84083,297.15,0.41,0.37,2019-01-21,0012,N,VIIRS,n,2,276.18,0.82,N,0
38.12812,23.52554,304.76,0.39,0.36,2019-01-21,0012,N,VIIRS,n,2,277.84,1.16,N,2
38.03939,23.51102,301.76,0.39,0.36,2019-01-21,0012,N,VIIRS,n,2,280.52,1.11,N,2
38.03606,23.51023,298.41,0.39,0.36,2019-01-21,0012,N,VIIRS,n,2,279.71,0.97,N,3
36.73317,22.97929,329.91,0.4,0.37,2019-01-21,1133,N,VIIRS,n,2,286.66,2.17,D,0
39.10963,20.93995,329.41,0.38,0.36,2019-01-21,1134,N,VIIRS,n,2,283.89,3.38,D,0
39.82032,22.10648,325.64,0.4,0.37,2019-01-21,1134,N,VIIRS,n,2,290.06,1.29,D,0
37.96745,24.79769,343.4,0.39,0.36,2019-01-22,1115,N,VIIRS,n,2,286.69,7.82,D,3
41.02326,22.88406,297.72,0.39,0.59,2019-01-22,2334,N,VIIRS,n,2,275.4,0.7,N,0
40.28489,23.44508,297.95,0.36,0.57,2019-01-22,2334,N,VIIRS,n,2,279.39,0.36,N,2
38.13115,23.52544,295.89,0.49,0.4,2019-01-27,0000,N,VIIRS,n,2,278.31,0.64,N,2
38.90873,22.1975,330.12,0.4,0.37,2019-01-27,1121,N,VIIRS,n,2,287.6,2.49,D,0
38.56418,23.29161,306.65,0.58,0.52,2019-01-27,2341,N,VIIRS,n,2,278.93,4.33,N,3
38.00465,24.55548,328.24,0.67,0.74,2019-01-29,1224,N,VIIRS,n,2,284.59,3.91,D,0
39.38544,22.80781,300.99,0.39,0.36,2019-01-31,0024,N,VIIRS,n,2,277.81,0.68,N,0
39.16811,22.84664,302.91,0.39,0.36,2019-01-31,0024,N,VIIRS,n,2,276.91,0.75,N,3
38.56592,23.29284,311.19,0.39,0.36,2019-01-31,0025,N,VIIRS,n,2,284.64,1.44,N,0
38.1292,23.526,306.41,0.4,0.37,2019-01-31,0025,N,VIIRS,n,2,279.81,1.37,N,2
38.08083,23.63802,304.86,0.4,0.37,2019-01-31,0025,N,VIIRS,n,2,277.33,0.65,N,0
40.28421,23.44633,295.36,0.45,0.39,2019-02-01,0005,N,VIIRS,n,2,277.71,0.42,N,2
39.167,22.84369,299.39,0.46,0.39,2019-02-01,0006,N,VIIRS,n,2,274.72,1.29,N,0
39.16724,22.84269,296.04,0.46,0.39,2019-02-01,0006,N,VIIRS,n,2,274.67,0.6,N,0
38.56835,23.29298,329,0.44,0.38,2019-02-01,0006,N,VIIRS,n,2,283.2,6.97,N,3
38.56481,23.2923,329.12,0.44,0.38,2019-02-01,0006,N,VIIRS,n,2,281.33,3.26,N,2
38.12928,23.52319,307.63,0.43,0.38,2019-02-01,0006,N,VIIRS,n,2,281.21,1.31,N,2
38.56881,23.29433,295.99,0.48,0.48,2019-02-01,2347,N,VIIRS,n,2,272.63,0.85,N,3
38.56433,23.29387,299.02,0.48,0.48,2019-02-01,2347,N,VIIRS,n,2,271.63,0.85,N,2
38.56646,23.293,312.92,0.48,0.48,2019-02-01,2347,N,VIIRS,n,2,272.54,1.77,N,2
38.1294,23.52294,298.33,0.46,0.47,2019-02-01,2347,N,VIIRS,n,2,274.65,0.84,N,2
38.08717,24.56236,339.24,0.42,0.37,2019-02-02,1108,N,VIIRS,n,2,287.76,8.35,D,0
37.51077,21.61339,352.5,0.63,0.54,2019-02-03,1049,N,VIIRS,n,2,290.42,8.56,D,0
35.34041,23.83975,350.62,0.4,0.6,2019-02-04,1210,N,VIIRS,n,2,279.98,3.92,D,0
35.34019,23.83608,326.41,0.4,0.6,2019-02-04,1210,N,VIIRS,n,2,278.84,3.92,D,0
40.28336,23.4466,304.55,0.41,0.37,2019-02-05,0030,N,VIIRS,n,2,280.93,0.55,N,2
39.35598,22.98329,295.07,0.41,0.37,2019-02-05,0031,N,VIIRS,n,2,282.81,0.97,N,0
38.56468,23.29398,302.11,0.42,0.38,2019-02-05,0031,N,VIIRS,n,2,281.76,2.1,N,2
38.37484,24.06039,299.05,0.45,0.39,2019-02-05,0031,N,VIIRS,n,2,283.32,0.78,N,2
37.91915,23.07161,299.24,0.43,0.38,2019-02-05,0031,N,VIIRS,n,2,286.23,0.92,N,2
39.77735,22.30352,328.86,0.4,0.44,2019-02-05,1153,N,VIIRS,n,2,287.52,2.42,D,0
41.07691,22.89427,330.55,0.44,0.46,2019-02-05,1153,N,VIIRS,n,2,289.89,2.19,D,0
39.05282,21.15324,329.86,0.39,0.36,2019-02-06,1134,N,VIIRS,n,2,286.63,2.13,D,0
38.10561,21.4275,329.63,0.47,0.4,2019-02-07,1115,N,VIIRS,n,2,287.47,3.31,D,0
38.49179,21.24975,327.78,0.47,0.4,2019-02-07,1115,N,VIIRS,n,2,287.57,2.71,D,0
39.08143,21.00395,329.39,0.47,0.4,2019-02-07,1115,N,VIIRS,n,2,283.34,2.55,D,0
41.22385,23.26004,349.42,0.39,0.36,2019-02-07,1115,N,VIIRS,n,2,285.04,4.44,D,0
40.24993,21.78423,331.89,0.45,0.47,2019-02-08,1056,N,VIIRS,n,2,286.93,2.85,D,0
41.71668,26.2372,338.75,0.43,0.46,2019-02-09,1038,N,VIIRS,n,2,283.75,5.5,D,0
38.01881,21.30465,352.89,0.37,0.58,2019-02-09,1218,N,VIIRS,n,2,287.56,3.86,D,0
38.01531,21.30771,345.12,0.37,0.58,2019-02-09,1218,N,VIIRS,n,2,287.89,6.76,D,3
38.01509,21.30342,356.8,0.37,0.58,2019-02-09,1218,N,VIIRS,l,2,286.21,6.76,D,3
39.35499,22.98588,295.68,0.46,0.39,2019-02-10,0037,N,VIIRS,n,2,278.8,0.96,N,0
38.56626,23.29506,328.81,0.48,0.4,2019-02-10,0037,N,VIIRS,n,2,280.86,4.91,N,2
38.56448,23.29339,319.18,0.48,0.4,2019-02-10,0037,N,VIIRS,n,2,281.78,2.99,N,2
37.91731,23.07304,297.93,0.48,0.4,2019-02-10,0037,N,VIIRS,n,2,282.02,1.31,N,2
37.83902,21.53923,325.23,0.42,0.45,2019-02-10,1158,N,VIIRS,n,2,286.77,2.1,D,0
40.51044,21.16946,340.13,0.43,0.46,2019-02-10,1159,N,VIIRS,n,2,288.45,5.53,D,0
39.3873,22.80866,299.44,0.39,0.36,2019-02-11,0018,N,VIIRS,n,2,276.29,0.44,N,0
39.38586,22.80623,302.53,0.39,0.36,2019-02-11,0018,N,VIIRS,n,2,277.29,0.64,N,0
